"FullName","Name","Extension","Length","LastWriteTime","FileDescription","ProductName","CompanyName","FileVersion","ProductVersion","OriginalFilename"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\BemaFI32.dll","BemaFI32.dll",".dll","745472","30/03/2006 16:46:44","Dll de alto nível para impressoras fiscais Bematech matriciais e térmicas com MFD (Memória Fita Detalhe).","BemaFI32.dll","Bematech Ind. e Com. de Equip. Eletrônicos S.A.","5, 0, 0, 0","5, 0, 0, 0","BemaFI32.dll"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\NBioBSP.dll","NBioBSP.dll",".dll","2060344","11/05/2006 10:20:30","NITGEN Biometric Service Provider Module","NBioBSP Dynamic Linked Library","NITGEN Co., Ltd.","4, 3, 2, 0","4, 3, 2, 0","NBioBSP.DLL"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\NBSP2Eng.dll","NBSP2Eng.dll",".dll","1400832","27/05/2004 08:50:08","NITGEN Biometric Service Provider Module - English Resource DLL","NBioBSP English Resource DLL","NITGEN Co., Ltd.","4, 0, 0, 0","4, 0, 0, 0","NBSP2Eng.dll"
"D:\AtelieProd\Equipexe\Filiais\MOVANTIGA\GER\DADOS\NImgConv.dll","NImgConv.dll",".dll","135168","02/05/2005 14:23:44","NImgConverter DLL","NImgConverter Dynamic Link Library","NITGEN Co.,Ltd.","1, 0, 0, 1","1, 0, 0, 1","NImgConverter.DLL"
"D:\AtelieProd\Equipexe\Ger\Dados\BemaFI32.dll","BemaFI32.dll",".dll","745472","30/03/2006 17:46:44","Dll de alto nível para impressoras fiscais Bematech matriciais e térmicas com MFD (Memória Fita Detalhe).","BemaFI32.dll","Bematech Ind. e Com. de Equip. Eletrônicos S.A.","5, 0, 0, 0","5, 0, 0, 0","BemaFI32.dll"
"D:\AtelieProd\Equipexe\Ger\Dados\NBioBSP.dll","NBioBSP.dll",".dll","2060344","11/05/2006 11:20:30","NITGEN Biometric Service Provider Module","NBioBSP Dynamic Linked Library","NITGEN Co., Ltd.","4, 3, 2, 0","4, 3, 2, 0","NBioBSP.DLL"
"D:\AtelieProd\Equipexe\Ger\Dados\NBSP2Eng.dll","NBSP2Eng.dll",".dll","1400832","27/05/2004 09:50:08","NITGEN Biometric Service Provider Module - English Resource DLL","NBioBSP English Resource DLL","NITGEN Co., Ltd.","4, 0, 0, 0","4, 0, 0, 0","NBSP2Eng.dll"
"D:\AtelieProd\Equipexe\Ger\Dados\NImgConv.dll","NImgConv.dll",".dll","135168","02/05/2005 15:23:44","NImgConverter DLL","NImgConverter Dynamic Link Library","NITGEN Co.,Ltd.","1, 0, 0, 1","1, 0, 0, 1","NImgConverter.DLL"
"D:\AtelieProd\Equipexe\Importa\Figuras\OLEPRO32.DLL","OLEPRO32.DLL",".DLL","164112","05/05/1999 21:22:00","","","Microsoft Corporation","5.0.4275","2.40","OLEPRO32.DLL"
"D:\AtelieProd\Equipexe\Importa\Figuras\TIMEDATE.CPL","TIMEDATE.CPL",".CPL","37376","05/05/1999 21:22:00","DLL do Painel de controle","Sistema operacional Microsoft(R) Windows(R)","Microsoft Corporation","4.10.2222","4.10.2222","TIMEDATE.CPL"
"D:\AtelieProd\Equipexe\_ISREG32.DLL","_ISREG32.DLL",".DLL","40960","23/04/1997 00:16:12","_isreg32","Stirling _isreg32","Stirling","2, 0, 0, 0","2, 0, 0, 0","_isreg32.dll"
