"Executavel","Categoria","Texto","Origem"
"LavSoft","outro"," Pago, Deseja Cancelar o Pagamento","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," PECAS EM ABERTO ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Pergunta antes de marcar Entrega","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," pode ser cancelado o ultimo cupom fiscal","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," pode ser Cancelado, ultimo cupom fiscal","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," pode ser efetuado no Dia do Cancelamento,","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," pode ser feito o cancelamento com permiss","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," POR PRODUTO","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," preciso cancelar o lan","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Produto: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," PRODUTOS","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," protegida com senha","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","relatorio/impressao"," relat","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," ROL      = ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Rol   Entr. ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Rol Cancelado ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Rol: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Rol(s)","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," selecionada, deseja cancelar a Entrega?","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," selecionada, deseja cancelar o Pagamento?","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Select MA.CodMar, MA.DesMar, MA.Cancelado ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Select MA.CodMar, MA.DesMar, MA.Cancelado, MG.CodMar, MG.GruPro ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," sendo desativado, ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","autenticacao/permissao"," Tb_MovCabCodUsuario.DisplayWidth","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Tb_MovCabFixEntrega.DisplayWidth","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Tb_MovTmpItTOTPECAS.DisplayWidth","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," Usa Caminho do Nota Fiscal","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Vendedor Alt: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Vendedor: ","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","fiscal"," Where ((Desativado is Null) or (Desativado=""N""))","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","outro"," Where ((Not(Cancelado=""S"")) or (Cancelado is Null)) And (Not(Baixa=""S"")) And (CodCli=""","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","operacional"," Where (CodLoc="""") And (Rol=","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
"LavSoft","cadastro"," Where (F.Arquivo=""CLIENTES"") Order By Campo","D:\AtelieProd\Equipexe\Exe\LavSoft.exe"
